Country,Oil Production(bbl/day)
USA,15043000
Saudi Arabia,12000000
Russia,10800000
Iraq,4451516
Iran,3990956
China,3980650
Canada,3662694
United Arab Emirates,3106077
Kuwait,2923825
Brazil,2515459
Venezuela,2276967
Mexico,2186877
Nigeria,1999885
Angola,1769615
Norway,1647975
Kazakhstan,1595199
Algeria,1348361
Oman,1006841
Libya,1003000
United Kingdom,939760
Colombia,897784
Indonesia,833667
Azerbaijan,833538
India,715459
Malaysia,661240
Ecuador,548421
Argentina,510560
Romania,504000
Egypt,490000
Congo Republic of the,308363
Vietnam,301850
Australia,289749
Thailand,257525
SudanandSouth Sudan,255000
Turkmenistan,230779
Equatorial Guinea,227000
Gabon,210820
Denmark,140637
Chad,110156
Brunei,109117
Ghana,100549
Cameroon,93205
Pakistan,80000
Italy,70675
Timor-Leste,60661
Trinidad and Tobago,60090
Bahrain,40000
Bolivia,58077
Papua New Guinea,56667
Uzbekistan,52913
Cuba,50000
Turkey,49497
Tunisia,48757
Germany,46839
Peru,40266
New Zealand,35574
Ukraine,31989
Ivory Coast,30000
Syria,30000
Belarus,25000
Mongolia,23426
Albania,22915
Yemen,22000
Poland,20104
Congo Democratic Republic of the,20000
Philippines,20000
Serbia,20000
Netherlands,18087
Suriname,17000
France,16418
Austria,15161
Myanmar,15000
Hungary,13833
Croatia,13582
Niger,13000
Guatemala,8977
Mauritania,5000
Chile,4423
Bangladesh,4189
Japan,3918
Greece,3172
Spain,2667
Czech Republic,2333
Belize,2000
Lithuania,2000
South Africa,2000
Barbados,1000
Bulgaria,1000
Kyrgyzstan,1000
Georgia,400
Israel,390
Slovakia,200
Taiwan,196
Tajikistan,180
Morocco,160
Jordan,22
